Bar0, 0.30227272727272725
Bar1, 0.13409090909090912
Bar2, 0.5795454545454546
Bar3, 0.5477272727272727
Bar4, 0.8522727272727272
Bar5, 0.55
Bar6, 0.5613636363636364
Bar7, 0.525
Bar8, 0.5636363636363637
Bar9, 0.5477272727272727
Bar10, 0.2204545454545455
Bar11, 0.01818181818181828
Bar12, 0.6340909090909091
Bar13, 0.5454545454545455
Bar14, 0.4113636363636364
Bar15, 0.1886363636363637
Bar16, 0.4636363636363637
Bar17, 0.3818181818181818
Bar18, 0.5477272727272727
Bar19, 0.49090909090909085
Bar20, 0.4363636363636364
Bar21, 0.3295454545454545
Bar22, 0.49318181818181817
Bar23, 0.43863636363636366
