,CV,log CV,RCVQ,log RCVQ,RCVM,log RCVM,Mistake
10.1002:btm2.10487_log_fig1,0.8450684378279495,-0.07310811830773357,0.8929980436973255,-0.04914949252510094,0.9410951848727361,-0.026366448650970098,log
10.1002:btm2.10487_log_fig2,1.0484771058305475,0.020558951806594887,1.2903533706918173,0.11070866062925035,1.2356326542162535,0.0918893769348026,log
10.1002:btm2.10499_zero_fig1,0.457477274357834,-0.33963047507540833,0.5705411545586524,-0.24371302337005543,0.6004030016145651,-0.22155714524058623,zero
10.1002:btm2.10499_zero_fig2,0.13931353972664956,-0.8560066729312791,0.13796590329618885,-0.8602282312797868,0.12991730238970575,-0.8863330057247301,zero
10.1002:btm2.10499_zero_fig3,0.13983090950951385,-0.8543968175342033,0.15390859819445452,-0.8127371173738573,0.11086383370972924,-0.9552101074304341,zero
10.1002:btm2.10499_zero_fig4,0.13530250467292024,-0.8686941638195241,0.13847004815104005,-0.8586441567761972,0.11135765422696099,-0.9532799261442236,zero
10.1002:btm2.10499_zero_fig5,0.2171168108440608,-0.6633065488433213,0.17984178429264241,-0.745109397255358,0.07213632407097396,-1.1418459922694832,zero
10.1002:btm2.10499_zero_fig6,0.18684179094989592,-0.7285259784858958,0.22349917685267887,-0.6507240720353901,0.25055324256624356,-0.6010999724085755,zero
10.1002:btm2.10504_zero_fig1,0.14665134114851394,-0.8337139609770826,0.1024120094951623,-0.9896491121916666,0.12987341851991774,-0.8864797278448122,zero
10.1002:btm2.10505_zero_fig1,0.023131484109242182,-1.635796502128766,0.02212577587331047,-1.6551014911797701,0.014591806052461019,-1.8358909514187383,zero
10.1002:btm2.10505_zero_fig2,0.22431091955130716,-0.649149584261673,0.1300576170849828,-0.8858642073965759,0.11054483399344751,-0.9564615481604538,zero
10.1002:btm2.10514_log_fig1,0.6030586670044247,-0.2196404365879851,0.5587712508790378,-0.25276594669848457,0.5896198483522704,-0.2294279052630205,log
10.1002:btm2.10514_log_fig2,1.298761386853288,0.11352936824636603,4.725953365526426,0.6744894318129677,1.3875056604441054,0.14223476353858822,log
10.1002:btm2.10517_zero_fig1,0.31348301193352685,-0.5037859891982759,0.2504739304064619,-0.6012374692769563,0.05111105852254545,-1.2914851246064913,zero
10.1002:btm2.10517_zero_fig2,0.4121435426060173,-0.3849515002180549,0.33798231920453387,-0.4711060182807756,0.39223215189873417,-0.4064568093936644,zero
10.1002:btm2.10517_zero_fig3,0.179980925222235,-0.7447735199505465,0.060454295012649165,-1.2185728389879742,0.07238468145927585,-1.1403533324438568,zero
10.1002:btm2.10517_zero_fig4,0.1585575914618955,-0.7998129598741432,0.08408786109848426,-1.0752666943144344,0.16622488381948394,-0.7793039619204108,zero
10.1002:btm2.10517_zero_fig5,0.45408806900333376,-0.3428599088765868,0.24081656463612175,-0.6183136433168772,0.4760461849726853,-0.3223509109228544,zero
10.1002:btm2.10517_zero_fig6,0.18163734143591784,-0.7407948633453958,0.09632774688452524,-1.0162485977856868,0.1904206900413296,-0.7202858653916635,zero
10.1002:btm2.10517_zero_fig7,0.18356752311634802,-0.7362041519963082,0.09735138030089105,-1.0116578864365986,0.1924442085788013,-0.7156951540425759,zero
10.1002:btm2.10517_zero_fig8,0.28542922208926763,-0.5445015661111827,0.15137170386609164,-0.8199553005514734,0.29923158420249,-0.5239925681574502,zero
10.1002:btm2.10523_zero_fig1,0.1879252666914958,-0.7260148247585319,0.29271981348089005,-0.5335478802509038,0.24838488603384176,-0.6048748340663181,zero
10.1002:btm2.10523_zero_fig2,0.29259665123915646,-0.5337306486709883,0.18391307757458608,-0.7353873881270839,0.18921403947626236,-0.7230466425597087,zero
10.1002:btm2.10527_zero_fig1,0.17961572957430424,-0.7456556333246422,0.061814259794285155,-1.2089113269241736,0.0026342639208527126,-2.5793407162276614,zero
10.1002:btm2.10538_log_fig1,1.0304474261753758,0.013025838808701853,1.613126727381643,0.20766848694298573,1.158188975109284,0.06377942653416194,log
10.1002:btm2.10538_log_fig2,1.2536151509864957,0.09816423230391914,1.791436562733358,0.25320143380123966,1.4302191860218678,0.15540259969250161,log
10.1002:btm2.10552_zero_fig1,0.45565515365746706,-0.3413637133037043,0.24164763677534493,-0.6168174477439948,0.4776890483775018,-0.3208547153499719,zero
10.1002:btm2.10552_zero_fig2,0.3905470607575535,-0.4083266263299042,0.16667882847833299,-0.778119560693662,0.10814217241825351,-0.9660049103311047,zero
